name,price,location,Тип предложения,Период аренды,Серия,Дом,Этаж,Площадь,Отопление,Состояние,Интернет,Санузел,Газ,Балкон,Входная дверь,Парковка,Мебель,Пол,Высота потолков,Правоустанавливающие документы,Телефон,Безопасность,Разное,"
                                    Дом                            ",Площадь участка,Возможность ипотеки,Кол-во этажей,Канализация,Питьевая вода,Электричество,Коммуникации,"
                                    Тип строения                            ",Поливная вода,Местоположение
"3-комн. кв., 95 м2",$ 800/мес.,"Бишкек, Золотой квадрат",от агента,на долгий срок,индивид. планировка,кирпичный,3 этаж из 5,95 м2,,хорошее,adsl,раздельный,,,бронированная,рядом охраняемая стоянка,полностью меблирована,ламинат,3 м.,,,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение","пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             удобно под бизнес",,,,,,,,,,,
"3-комн. кв., 113 м2",$ 1 000/мес.,"Бишкек, Золотой квадрат, Боконбаева 103/бульв. Эркиндик",от агента,на долгий срок,элитка,"монолитный, 2017 г.",9 этаж из 12,113 м2,центральное,евроремонт,проводной,раздельный,магистральный,балкон,бронированная,паркинг,полностью меблирована,,3.2 м.,,возможно подключение,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение","пластиковые окна,                                             улучшенная,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 56 м2",$ 500/мес.,"Бишкек, Политех",от агента,на долгий срок,элитка,кирпичный,8 этаж из 9,56 м2,,хорошее,adsl,совмещенный,,,бронированная,рядом охраняемая стоянка,полностью меблирована,ламинат,3 м.,,,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение","пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             тихий двор",,,,,,,,,,,
"1-комн. кв., 36 м2",$ 576/мес.,"Бишкек, Асанбай м-н",от агента,на долгий срок,элитка,кирпичный,9 этаж из 9,36 м2,,евроремонт,adsl,раздельный,,,бронированная,рядом охраняемая стоянка,полностью меблирована,ламинат,3 м.,,,"сигнализация,                                             видеодомофон,                                             кодовый замок,                                             охрана,                                             видеонаблюдение,                                             решетки на окнах,                                             домофон","пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 64 м2",$ 750/мес.,"Бишкек, БГУ",от агента,на долгий срок,элитка,кирпичный,5 этаж из 12,64 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 64 м2",$ 700/мес.,"Бишкек, Военторг",от агента,на долгий срок,элитка,кирпичный,10 этаж из 12,64 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 65 м2",$ 600/мес.,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",от агента,на долгий срок,элитка,"монолитный, 2017 г.",9 этаж из 16,65 м2,центральное,евроремонт,,,,,,,,,3.2 м.,,,,,,,,,,,,,,,
"2-комн. кв., 78 м2",$ 692/мес.,"Бишкек, Тунгуч м-н",от агента,на долгий срок,элитка,кирпичный,5 этаж из 10,78 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 80 м2",$ 1 300/мес.,"Бишкек, Бишкек-Парк, Токтогула 167",от агента,на долгий срок,элитка,монолитный,6 этаж из 14,80 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 50 м2",$ 634/мес.,"Бишкек, Джал-29 м-н",от агента,на долгий срок,элитка,кирпичный,11 этаж из 12,50 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"4-комн. кв., 120 м2",$ 1 200/мес.,"Бишкек, 12 м-н",от агента,на долгий срок,элитка,кирпичный,14 этаж из 14,120 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"Дом, 6 и более комнат, 250 м2",$ 1 500/мес.,"Бишкек, Арча-Бешик ж/м, Гагарина 288/4",от агента,на долгий срок,,,,250 м2,,евроремонт,,,,,,,,,,,,,,кирпичный,,,,,,,,,,
"Коммерческая недвижимость, 250 м2",$ 4 000/мес.,"Бишкек, Дворец спорта",от собственника,на долгий срок,,,,250 м2,,хорошее,,,,,,,,,,,,,,,,,2,,,,,,,
"4-комн. кв., 120 м2",$ 1 200/мес.,"Бишкек, 12 м-н",от собственника,на долгий срок,элитка,кирпичный,14 этаж из 14,120 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"Дом, 4-комн., 200 м2",$ 1 500/мес.,"Бишкек, Матросова, Матросова 152",от агента,на долгий срок,,,,200 м2,,хорошее,,,,,,,,,,,,,,кирпичный,,,,,,,,,,
"Дом, 4-комн., 200 м2",$ 1 500/мес.,"Айкол, Арашан 7",от собственника,на долгий срок,,,,"200 м2, жилая: 200 м2",,евроремонт,,,,,,,,,,,,,,кирпичный,10 соток,,2,,,,,,,
"Дом, 6 и более комнат, 250 м2",$ 2 900/мес.,"Бишкек, Душанбинка, Токтаналиева 47",от агента,на долгий срок,,,,250 м2,,евроремонт,,,,,,,,,,,,,,кирпичный,,,,,,,,,,
"2-комн. кв., 50 м2",$ 700/мес.,"Бишкек, 12 м-н",от агента,на долгий срок,элитка,кирпичный,11 этаж из 14,50 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 70 м2",$ 1 000/мес.,"Бишкек, КНУ, Уметалиева 124",от агента,на долгий срок,элитка,монолитный,9 этаж из 14,70 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 50 м2",$ 700/мес.,"Бишкек, 12 м-н",от собственника,на долгий срок,элитка,кирпичный,11 этаж из 14,50 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 63 м2",$ 800/мес.,"Бишкек, Филармония, Туруcбекова 109/1",от агента,на долгий срок,элитка,"монолитный, 2016 г.",8 этаж из 8,63 м2,центральное,евроремонт,проводной,совмещенный,,балкон,бронированная,,полностью меблирована,паркет,3 м.,,есть,"домофон,                                             видеодомофон,                                             охрана,                                             видеонаблюдение",,,,,,,,,,,,
"3-комн. кв., 80 м2",$ 1 300/мес.,"Бишкек, Военторг, Сыдыкова 141",от агента,на долгий срок,элитка,монолитный,11 этаж из 15,"80 м2, жилая: 79 м2",центральное,евроремонт,,,,,,,,,3.2 м.,,,,,,,,,,,,,,,
"2-комн. кв., 45 м2",$ 700/мес.,"Бишкек, 7 м-н",от агента,на долгий срок,104 серия улучшенная,кирпичный,4 этаж из 4,"45 м2, жилая: 44 м2",,хорошее,,,,,,,,,,,,,,,,,,,,,,,,
"3-комн. кв., 100 м2",$ 2 000/мес.,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",от агента,на долгий срок,элитка,монолитный,4 этаж из 14,"100 м2, жилая: 95 м2",центральное,,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 125 м2",$ 1 000/мес.,"Бишкек, Карпинка, Суюнбаева 123/5",от агента,на долгий срок,элитка,"монолитный, 2017 г.",12 этаж из 13,125 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 80 м2",$ 1 300/мес.,"Бишкек, ЖД вокзал, Чуйкова/Орозбекова",от агента,на долгий срок,элитка,монолитный,11 этаж из 14,"80 м2, жилая: 75 м2",центральное,,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 90 м2",$ 1 300/мес.,"Бишкек, Военторг, Сыдыкова 141",от агента,на долгий срок,элитка,монолитный,10 этаж из 15,"90 м2, жилая: 80 м2",центральное,евроремонт,,,,,,,,,3.2 м.,,,,,,,,,,,,,,,
"2-комн. кв., 80 м2",$ 1 300/мес.,"Бишкек, Военторг, Сыдыкова 141",от агента,на долгий срок,элитка,монолитный,7 этаж из 15,80 м2,центральное,евроремонт,,,,,,,,,3.2 м.,,,,,,,,,,,,,,,
"2-комн. кв., 80 м2",$ 1 300/мес.,"Бишкек, Бишкек-Парк, Токтогула 167",от агента,на долгий срок,элитка,монолитный,8 этаж из 14,80 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 100 м2",$ 1 800/мес.,"Бишкек, Золотой квадрат, Чокморова 164",от агента,на долгий срок,элитка,монолитный,9 этаж из 12,"100 м2, жилая: 99 м2",центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 100 м2",$ 1 800/мес.,"Бишкек, Золотой квадрат, Чокморова 164",от агента,на долгий срок,элитка,монолитный,9 этаж из 12,"100 м2, жилая: 99 м2",центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 45 м2",$ 700/мес.,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",от агента,на долгий срок,элитка,монолитный,7 этаж из 14,"45 м2, жилая: 44 м2",центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 45 м2",$ 700/мес.,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",от агента,на долгий срок,элитка,монолитный,7 этаж из 14,45 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 72 м2",$ 800/мес.,"Бишкек, Политех",от агента,на долгий срок,элитка,монолитный,3 этаж из 9,72 м2,центральное,евроремонт,проводной,раздельный,,,бронированная,рядом охраняемая стоянка,полностью меблирована,,,,возможно подключение,"решетки на окнах,                                             домофон,                                             видеодомофон,                                             кодовый замок,                                             видеонаблюдение","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 50 м2",$ 700/мес.,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",от агента,на долгий срок,элитка,монолитный,8 этаж из 14,50 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"1-комн. кв., 43 м2",$ 500/мес.,"Бишкек, Академия Наук",от агента,на долгий срок,элитка,монолитный,10 этаж из 11,43 м2,,хорошее,проводной,,магистральный,застекленный балкон,бронированная,рядом охраняемая стоянка,полностью меблирована,,,,,,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",,,,,,,,,,,
"4-комн. кв., 50 м2",$ 700/мес.,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",от агента,на долгий срок,элитка,монолитный,7 этаж из 14,50 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 83 м2",$ 1 350/мес.,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",от агента,на долгий срок,элитка,"монолитный, 2019 г.",7 этаж из 12,83 м2,центральное,евроремонт,проводной,раздельный,нет,застекленный балкон,бронированная,рядом охраняемая стоянка,полностью меблирована,,3 м.,,,"домофон,                                             видеодомофон,                                             охрана,                                             видеонаблюдение","пластиковые окна,                                             улучшенная,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 50 м2",$ 700/мес.,"Бишкек, Бишкек-Парк, Токтогула 167",от агента,на долгий срок,элитка,монолитный,5 этаж из 14,50 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"5-комн. кв., 50 м2",$ 700/мес.,"Бишкек, Бишкек-Парк, Токтогула 167",от агента,на долгий срок,элитка,монолитный,5 этаж из 14,50 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 100 м2",$ 1 500/мес.,"Бишкек, Золотой квадрат",от агента,на долгий срок,элитка,монолитный,8 этаж из 12,100 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 57 м2",$ 500/мес.,"Бишкек, Магистраль, Ч. Айтматова/Абдрахманова",от агента,на долгий срок,элитка,монолитный,2 этаж из 10,"57 м2, жилая: 56 м2",,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 100 м2",$ 1 650/мес.,"Бишкек, 7 м-н",от агента,на долгий срок,элитка,монолитный,12 этаж из 12,100 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 57 м2",$ 500/мес.,"Бишкек, Магистраль, Ч. Айтматова/Абдрахманова",от агента,на долгий срок,элитка,монолитный,2 этаж из 10,"57 м2, жилая: 56 м2",,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 100 м2",$ 1 500/мес.,"Бишкек, Старый аэропорт",от агента,на долгий срок,элитка,монолитный,3 этаж из 12,100 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"3-комн. кв., 100 м2",$ 1 000/мес.,"Бишкек, Бишкек-Парк",от агента,на долгий срок,элитка,монолитный,8 этаж из 16,100 м2,,,,,,,,,,,,,,,,,,,,,,,,,,
"3-комн. кв., 62 м2",$ 600/мес.,"Бишкек, 10 м-н",от агента,на долгий срок,106 серия,кирпичный,7 этаж из 9,62 м2,,хорошее,,,,,,,,,,,,,,,,,,,,,,,,
"1-комн. кв., 35 м2",$ 25/сутки,"Бишкек, Московская - Уметалиева, Чокморова/Калык-Акиева",от собственника,посуточно,104 серия,кирпичный,2 этаж из 5,35 м2,центральное,хорошее,проводной,раздельный,магистральный,балкон,металлическая,паркинг,полностью меблирована,линолеум,,,есть,,,,,,,,,,,,,
"4-комн. кв., 130 м2",$ 1 400/мес.,"Бишкек, Старый аэропорт",от агента,на долгий срок,элитка,монолитный,7 этаж из 10,130 м2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Коммерческая недвижимость, 2500 м2",$ 4 000/мес.,ж/м Биримдик Кут,от агента,на долгий срок,,,,2500 м2,,,,,,,,,,,,,,,,кирпичный,,,1,,,,,,,
"2-комн. кв., 97 м2",$ 1 000/мес.,"Бишкек, Сквер Тоголок Молдо, Исанова 33",от агента,на долгий срок,элитка,монолитный,9 этаж из 12,97 м2,центральное,евроремонт,проводной,раздельный,магистральный,,бронированная,,полностью меблирована,ламинат,3 м.,,,домофон,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             встроенная кухня,                                             тихий двор",,,,,,,,,,,
"3-комн. кв., 125 м2",$ 900/мес.,"Бишкек, Сквер Тоголок Молдо",от агента,на долгий срок,элитка,монолитный,8 этаж из 15,"125 м2, жилая: 120 м2",,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 80 м2",$ 800/мес.,"Бишкек, Московская - Уметалиева, Масковская 191",от агента,на долгий срок,элитка,монолитный,12 этаж из 12,80 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"Дом, 3-комн., 70 м2",$ 300/сутки,"с. Сары-Ой, Raduga Resort 53/Центральная",от собственника,посуточно,,,,"70 м2, жилая: 54 м2",электрическое,евроремонт,,совмещенный,,,,,полностью меблирована,ламинат,2.8 м.,,,охрана,,шлакоблочный,,,1,центральная,центральное водоснабжение,есть,,,,
"3-комн. кв., 80 м2",$ 1 000/мес.,"Бишкек, Московская - Уметалиева, Масковская 191",от агента,на долгий срок,элитка,монолитный,10 этаж из 12,80 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"3-комн. кв., 90 м2",$ 519/мес.,"Бишкек, 5 м-н",от агента,на долгий срок,104 серия,кирпичный,1 этаж из 4,90 м2,центральное,евроремонт,проводной,совмещенный,магистральный,,бронированная,,полностью меблирована,ламинат,,,,домофон,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 56 м2",$ 484/мес.,"Бишкек, Московская - Уметалиева",от агента,на долгий срок,элитка,монолитный,5 этаж из 9,56 м2,центральное,евроремонт,проводной,совмещенный,магистральный,застекленный балкон,бронированная,рядом охраняемая стоянка,полностью меблирована,,,,,"решетки на окнах,                                             домофон,                                             кодовый замок,                                             видеонаблюдение","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"Коммерческая недвижимость, 160 м2",$ 692/мес.,"Бишкек, Азия Молл, Бакаева 26/Переулок Таджикский",от собственника,на долгий срок,,,,160 м2,без отопления,хорошее,,,,,,,,,,,нет,видеонаблюдение,,,,,,,,,,,,
"Коммерческая недвижимость, 84 м2",$ 1 000/мес.,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",от агента,на долгий срок,,,,84 м2,центральное,под самоотделку (псо),,,,,,,,,3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 135 м2",$ 900/мес.,"Бишкек, Филармония",от агента,на долгий срок,индивид. планировка,кирпичный,9 этаж из 9,135 м2,,евроремонт,adsl,раздельный,,,бронированная,рядом охраняемая стоянка,полностью меблирована,ламинат,3 м.,,,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение","улучшенная,                                             новая сантехника,                                             кондиционер,                                             тихий двор,                                             комнаты изолированы",,,,,,,,,,,
"Коммерческая недвижимость, 100 м2",$ 1 650/мес.,"Бишкек, Золотой квадрат",от агента,на долгий срок,,,,100 м2,центральное,под самоотделку (псо),,,,,,,,,,,,,,монолитный,,,,,,,,,,
"2-комн. кв., 85 м2",$ 700/мес.,"Бишкек, Душанбинка, Жаманбаева 8/2/Душанбинская",от агента,на долгий срок,элитка,"монолитный, 2019 г.",8 этаж из 12,85 м2,центральное,хорошее,проводной,,,,,,,,3 м.,,есть,,,,,,,,,,,,,
"2-комн. кв., 52 м2",$ 650/мес.,"Бишкек, Бишкек-Парк, Киевская 129",от агента,на долгий срок,104 серия,монолитный,4 этаж из 4,52 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 77 м2",$ 680/мес.,"с. Кок-Джар, Алма-Aтинская/Токомбаева",от агента,на долгий срок,элитка,"монолитный, 2020 г.",4 этаж из 9,77 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"4-комн. кв., 130 м2",$ 1 000/мес.,"Бишкек, Бишкек-Парк",от агента,на долгий срок,индивид. планировка,монолитный,1 этаж из 5,130 м2,центральное,хорошее,проводной,,,,,,,,,,есть,,,,,,,,,,,,,
"Дом, 6 и более комнат, 470 м2",$ 2 800/мес.,"Бишкек, Ак Кеме, пр. Чынгыза Айтматова/Южная маистраль",от собственника,на долгий срок,,,,470 м2,смешанное,хорошее,оптика,2 с/у и более,магистральный,,,,полностью меблирована,ламинат,2800 м.,,,"решетки на окнах,                                             домофон,                                             видеодомофон","пластиковые окна,                                             бассейн,                                             сад,                                             хозпостройки,                                             навес,                                             сауна,                                             3 фазы","кирпичный, 2010 г.",8 соток,,3,центральная,центральное водоснабжение,есть,,,,
"2-комн. кв., 60 м2",$ 1 200/мес.,"Бишкек, Военторг, Сыдыкова/Коенкозова",от агента,на долгий срок,элитка,"монолитный, 2021 г.",4 этаж из 14,60 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"3-комн. кв., 134 м2",$ 1 500/мес.,"Бишкек, Дворец спорта, Исанова 117",от агента,на долгий срок,элитка,монолитный,3 этаж из 10,134 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"3-комн. кв., 100 м2",$ 1 500/мес.,"Бишкек, Киргизия-2 м-н",от агента,на долгий срок,элитка,кирпичный,3 этаж из 4,100 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 48 м2",$ 650/мес.,"Бишкек, Душанбинка",от агента,на долгий срок,элитка,монолитный,9 этаж из 12,48 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 42 м2",$ 650/мес.,"Бишкек, 1000 мелочей",от агента,на долгий срок,элитка,кирпичный,6 этаж из 12,42 м2,,евроремонт,adsl,совмещенный,,,бронированная,,полностью меблирована,ламинат,3 м.,,,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение","пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             тихий двор",,,,,,,,,,,
"4-комн. кв., 230 м2",$ 1 000/мес.,"Бишкек, Джальская больница",от агента,на долгий срок,элитка,кирпичный,4 этаж из 4,230 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"6 и более комнат кв., 230 м2",$ 2 000/мес.,"Бишкек, Сквер Тоголок Молдо",от агента,на долгий срок,индивид. планировка,монолитный,6 этаж из 7,230 м2,центральное,хорошее,проводной,,,,,,,,,,есть,,,,,,,,,,,,,
"2-комн. кв., 67 м2",$ 1 200/мес.,"Бишкек, Магистраль, Токомбаева, за парком ""Асанбай""",от агента,на долгий срок,элитка,"монолитный, 2020 г.",5 этаж из 8,67 м2,,евроремонт,,,,,,,,,3.3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 90 м2",$ 800/мес.,"Бишкек, Асанбай м-н",от агента,на долгий срок,элитка,кирпичный,5 этаж из 10,90 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 43 м2",$ 519/мес.,"Бишкек, Московская - Уметалиева",от агента,на долгий срок,104 серия,кирпичный,3 этаж из 4,43 м2,центральное,хорошее,проводной,совмещенный,магистральный,застекленный балкон,бронированная,рядом охраняемая стоянка,полностью меблирована,,,,,"решетки на окнах,                                             домофон","пластиковые окна,                                             улучшенная,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 60 м2",$ 700/мес.,"Бишкек, Моссовет",от агента,на долгий срок,элитка,монолитный,7 этаж из 12,60 м2,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,,,
"3-комн. кв., 95 м2",$ 1 000/мес.,"Бишкек, ЖД вокзал",от агента,на долгий срок,элитка,кирпичный,3 этаж из 12,95 м2,,евроремонт,adsl,раздельный,,,бронированная,рядом охраняемая стоянка,полностью меблирована,ламинат,3 м.,,,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение","пластиковые окна,                                             кондиционер,                                             комнаты изолированы,                                             тихий двор",,,,,,,,,,,
"2-комн. кв., 90 м2",$ 1 200/мес.,"Бишкек, Военторг, Сыдыкова/Коенкозова",от агента,на долгий срок,элитка,"монолитный, 2021 г.",4 этаж из 14,90 м2,центральное,евроремонт,проводной,раздельный,,,,,,,3 м.,,есть,,,,,,,,,,,,,
"2-комн. кв., 80 м2",$ 600/мес.,"Бишкек, Джальская больница",от агента,на долгий срок,элитка,кирпичный,5 этаж из 11,80 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"1-комн. кв., 30 м2",$ 27/сутки,"Бишкек, Космос, Панфилова 7.9./Абая",от собственника,посуточно,элитка,"кирпичный, 1998 г.",1 этаж из 2,"30 м2, жилая: 30 м2, кухня: 15 м2",центральное,евроремонт,,совмещенный,магистральный,,бронированная,паркинг,полностью меблирована,ламинат,3.2 м.,,,"решетки на окнах,                                             домофон,                                             кодовый замок","улучшенная,                                             кухня-студия,                                             новая сантехника,                                             встроенная кухня,                                             тихий двор",,,,,,,,,,,
"4-комн. кв., 160 м2",$ 1 200/мес.,"Бишкек, Магистраль",от агента,на долгий срок,элитка,кирпичный,3 этаж из 9,160 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 43 м2",$ 519/мес.,"Бишкек, 9 м-н",от агента,на долгий срок,104 серия,кирпичный,2 этаж из 4,43 м2,центральное,евроремонт,проводной,совмещенный,магистральный,застекленный балкон,бронированная,гараж,полностью меблирована,ламинат,,,,"решетки на окнах,                                             домофон","пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"Дом, 1-комн., 20 м2",$ 69/мес.,"Бишкек, VEFA",от собственника,на долгий срок,,,,20 м2,,хорошее,,,,,,,,,,,,,,другое,,,,,,,,,,
"2-комн. кв., 60 м2",$ 700/мес.,"Бишкек, ЖД вокзал",от агента,на долгий срок,элитка,монолитный,7 этаж из 12,60 м2,центральное,хорошее,проводной,,,,,,,,,,есть,,,,,,,,,,,,,
"1-комн. кв., 56 м2",$ 600/мес.,"Бишкек, АЮ Grand,  ул. Анкара 1/34",от агента,на долгий срок,элитка,"монолитный, 2020 г.",3 этаж из 7,56 м2,центральное,евроремонт,,,,,,,,,2.7 м.,,,,,,,,,,,,,,,
"1-комн. кв., 38 м2",$ 403/мес.,"Бишкек, Золотой квадрат",от собственника,на долгий срок,индивид. планировка,монолитный,6 этаж из 8,38 м2,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,,,
"1-комн. кв., 49 м2",$ 650/мес.,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",от агента,на долгий срок,элитка,"монолитный, 2021 г.",7 этаж из 8,49 м2,центральное,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"2-комн. кв., 60 м2",$ 800/мес.,"Бишкек, Дордой Плаза, Ибраимова 115/Чуй",от агента,на долгий срок,элитка,"монолитный, 2017 г.",7 этаж из 12,60 м2,,евроремонт,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"1-комн. кв., 58 м2",$ 576/мес.,"Бишкек, 7 м-н",от агента,на долгий срок,элитка,монолитный,2 этаж из 10,58 м2,центральное,евроремонт,проводной,совмещенный,магистральный,застекленный балкон,бронированная,паркинг,полностью меблирована,ламинат,,,,"решетки на окнах,                                             домофон,                                             видеонаблюдение","пластиковые окна,                                             улучшенная,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"3-комн. кв., 110 м2",$ 634/мес.,"Бишкек, Московская - Уметалиева, Чокморова 258",от агента,на долгий срок,индивид. планировка,кирпичный,5 этаж из 5,110 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,,,,
"5-комн. кв., 250 м2",$ 2 800/мес.,"Бишкек, Золотой квадрат, Боконбаева 103/бульв. Эркиндик",от агента,на долгий срок,элитка,"монолитный, 2017 г.",9 этаж из 12,250 м2,центральное,евроремонт,проводной,2 с/у и более,,,,,,,3.2 м.,,есть,,,,,,,,,,,,,
"Коммерческая недвижимость, 100 м2",$ 1 200/мес.,"Бишкек, Карпинка",от агента,на долгий срок,,,,100 м2,центральное,евроремонт,проводной,,,,,,,,,,,"решетки на окнах,                                             видеонаблюдение",,,,,,,,,,,,
"Дом, 4-комн., 159 м2",$ 1 050/мес.,с. Аламудун,от агента,на долгий срок,,,,159 м2,автономное,хорошее,проводной,раздельный,магистральный,,,,полностью меблирована,,,,,"решетки на окнах,                                             видеонаблюдение","пластиковые окна,                                             баня,                                             бассейн,                                             сад,                                             хозпостройки,                                             сауна,                                             навес,                                             гараж,                                             веранда,                                             3 фазы",кирпичный,,,2,центральная,центральное водоснабжение,есть,,,,
